case_order,case_id,case_group,routing_condition,source_result_representation,oracle_result_representation,expected_unified_result_json,observed_unified_result_json,exact13_type_value_equality,case_passed
52,ROUTING_ORACLE_MISMATCH,routing_oracle_failure,all Exact9 types and values must match,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",true,true
53,ROUTING_ORACLE_EXCEPTION,routing_oracle_failure,oracle exception fails closed,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}",exception=RuntimeError,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",true,true
54,ROUTING_CANDIDATE_FIELDS_EMPTY,routing_projection,stage fields never become candidate fields,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
55,ROUTING_CONSUMED_CONTEXT,routing_projection,consumed stage field maps to context item,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
56,ROUTING_FALSE_LOWERCASE,routing_projection,False projects to exact lowercase false,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",false]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",false]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""normalized_values"":[[""current_stage_download_authorized"",""false""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""normalized_values"":[[""current_stage_download_authorized"",""false""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
57,ROUTING_TRUE_LOWERCASE,routing_projection,True projects to exact lowercase true,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
58,ROUTING_CURRENT_EXACT13,routing_registry,current registry remains ADMIT_001..013,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
59,ROUTING_FUTURE_EXACT14,routing_registry,future order appends ADMIT_014 only,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
60,ROUTING_KNOWN_UNREGISTERED,routing_registry,ADMIT_015 remains known-not-registered,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
61,ROUTING_HANDLER_IDENTITY,routing_registry,first thirteen handler identities preserved,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
